Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Tennessee,,Georgia State,L,7,108,15.4,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0.0
2,2019-09-07,Tennessee,,Brigham Young,L,4,88,22.0,2,1,2,2.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0
3,2019-09-14,Tennessee,,Chattanooga,W,1,12,12.0,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0.0
4,2019-09-21,Tennessee,@,Florida,L,7,73,10.4,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0.0
5,2019-10-05,Tennessee,,Georgia,L,7,114,16.3,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0.0
6,2019-10-12,Tennessee,,Mississippi State,W,3,17,5.7,0,1,22,22.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0
7,2019-10-19,Tennessee,@,Alabama,L,6,66,11.0,0,1,1,1.0,0,0,0,,0,0,0,,2,0,2,0.0,0.0
8,2019-10-26,Tennessee,,South Carolina,W,7,174,24.9,2,5,18,3.6,0,0,0,,0,0,0,,0,0,0,0.0,0.0
9,2019-11-02,Tennessee,,Alabama-Birmingham,W,5,70,14.0,0,1,2,2.0,1,0,0,,0,0,0,,0,0,0,0.0,0.0
10,2019-11-09,Tennessee,@,Kentucky,W,3,49,16.3,0,0,0,,0,0,1,0.0,0,0,0,0.0,1,0,1,0.0,0.0
11,2019-11-23,Tennessee,@,Missouri,W,5,115,23.0,1,3,1,0.3,0,0,0,,0,0,0,,0,0,0,0.0,0.0
12,2019-11-30,Tennessee,,Vanderbilt,W,2,56,28.0,0,0,0,,0,0,0,,0,0,0,,1,0,1,0.0,0.0
13,2020-01-02,Tennessee,N,Indiana*,W,2,27,13.5,0,1,5,5.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0
