Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-24,Miami (FL),N,Florida,L,2,28,14.0,0,1,16,16.0,0,1,32,32.0,0,1,-1,-1.0,0
2,2019-09-07,Miami (FL),@,North Carolina,L,7,51,7.3,0,1,5,5.0,0,1,15,15.0,0,0,0,,0
3,2019-09-14,Miami (FL),,Bethune-Cookman,W,3,24,8.0,0,1,6,6.0,0,1,37,37.0,0,2,0,0.0,0
4,2019-09-21,Miami (FL),,Central Michigan,W,3,29,9.7,0,2,5,2.5,0,1,21,21.0,0,1,16,16.0,0
5,2019-10-05,Miami (FL),,Virginia Tech,L,6,124,20.7,2,1,8,8.0,0,1,22,22.0,0,1,29,29.0,0
6,2019-10-11,Miami (FL),,Virginia,W,3,14,4.7,0,0,0,,0,1,21,21.0,0,0,0,,0
7,2019-11-02,Miami (FL),@,Florida State,W,4,84,21.0,1,0,0,,0,0,0,,0,0,0,,0
8,2019-11-09,Miami (FL),,Louisville,W,1,3,3.0,0,1,1,1.0,0,0,0,,0,0,0,,0
9,2019-11-23,Miami (FL),@,Florida International,L,2,22,11.0,0,0,0,,0,1,22,22.0,0,0,0,,0
10,2019-11-30,Miami (FL),@,Duke,L,0,0,,0,0,0,,0,5,98,19.6,0,0,0,,0
