Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Alabama,N,Duke,W,10,137,13.7,1,0,0,,0,0,0,0,0.0,0.0
2,2019-09-07,Alabama,,New Mexico State,W,8,103,12.9,3,0,0,,0,0,0,0,0.0,0.0
3,2019-09-14,Alabama,@,South Carolina,W,6,68,11.3,0,0,0,,0,0,0,0,0.0,0.0
4,2019-09-21,Alabama,,Southern Mississippi,W,6,96,16.0,2,0,0,,0,0,0,0,0.0,0.0
5,2019-09-28,Alabama,,Mississippi,W,8,84,10.5,0,0,0,,0,0,0,0,0.0,0.0
6,2019-10-12,Alabama,@,Texas A&M,W,4,50,12.5,0,0,0,,0,0,1,1,0.0,0.0
7,2019-10-19,Alabama,,Tennessee,W,3,41,13.7,0,0,0,,0,0,0,0,0.0,0.0
8,2019-10-26,Alabama,,Arkansas,W,7,103,14.7,2,0,0,,0,0,0,0,0.0,0.0
9,2019-11-09,Alabama,,Louisiana State,L,5,71,14.2,1,0,0,,0,0,0,0,0.0,0.0
10,2019-11-16,Alabama,@,Mississippi State,W,7,114,16.3,0,0,0,,0,0,0,0,0.0,0.0
11,2019-11-23,Alabama,,Western Carolina,W,2,66,33.0,0,0,0,,0,0,0,0,0.0,0.0
12,2019-11-30,Alabama,@,Auburn,L,5,26,5.2,0,0,0,,0,0,0,0,0.0,0.0
13,2020-01-01,Alabama,N,Michigan*,W,6,204,34.0,1,1,1,1.0,0,0,0,0,0.0,0.0
