Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Louisiana State,,Georgia Southern,W,5,87,17.4,1,0,0,0,0.0,0.0
2,2019-09-07,Louisiana State,@,Texas,W,9,163,18.1,3,0,0,0,0.0,0.0
3,2019-09-14,Louisiana State,,Northwestern State,W,5,124,24.8,0,0,0,0,0.0,0.0
4,2019-09-21,Louisiana State,@,Vanderbilt,W,2,18,9.0,1,0,0,0,0.0,0.0
5,2019-10-05,Louisiana State,,Utah State,W,9,155,17.2,2,0,0,0,0.0,0.0
6,2019-10-12,Louisiana State,,Florida,W,10,123,12.3,1,0,0,0,0.0,0.0
7,2019-10-19,Louisiana State,@,Mississippi State,W,8,89,11.1,1,0,0,0,0.0,0.0
8,2019-10-26,Louisiana State,,Auburn,W,7,60,8.6,0,0,0,0,0.0,0.0
9,2019-11-09,Louisiana State,@,Alabama,W,7,79,11.3,0,0,0,0,0.0,0.0
10,2019-11-16,Louisiana State,@,Mississippi,W,9,112,12.4,2,1,0,1,0.0,0.0
11,2019-11-23,Louisiana State,,Arkansas,W,4,27,6.8,1,0,0,0,0.0,0.0
12,2019-11-30,Louisiana State,,Texas A&M,W,6,55,9.2,1,0,0,0,0.0,0.0
13,2019-12-07,Louisiana State,N,Georgia,W,7,115,16.4,1,0,0,0,0.0,0.0
14,2019-12-28,Louisiana State,N,Oklahoma*,W,14,227,16.2,4,0,0,0,0.0,0.0
15,2020-01-13,Louisiana State,N,Clemson*,W,9,106,11.8,0,0,0,0,0.0,0.0
