Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-31,Ohio State,,Florida Atlantic,W,3,21,7.0,0,0,0,,0,2,13,6.5,0
2,2019-09-07,Ohio State,,Cincinnati,W,8,57,7.1,1,0,0,,0,3,25,8.3,0
3,2019-09-14,Ohio State,@,Indiana,W,2,23,11.5,1,0,0,,0,0,0,,0
4,2019-09-21,Ohio State,,Miami (OH),W,2,78,39.0,1,0,0,,0,0,0,,0
5,2019-09-28,Ohio State,@,Nebraska,W,5,39,7.8,1,0,0,,0,0,0,,0
6,2019-10-05,Ohio State,,Michigan State,W,7,57,8.1,0,0,0,,0,0,0,,0
7,2019-10-18,Ohio State,@,Northwestern,W,2,19,9.5,0,0,0,,0,0,0,,0
8,2019-10-26,Ohio State,,Wisconsin,W,1,11,11.0,0,0,0,,0,0,0,,0
9,2019-11-09,Ohio State,,Maryland,W,4,56,14.0,1,1,1,1.0,0,0,0,,0
10,2019-11-16,Ohio State,@,Rutgers,W,4,62,15.5,1,0,0,,0,0,0,,0
11,2019-11-23,Ohio State,,Penn State,W,4,46,11.5,1,0,0,,0,0,0,,0
12,2019-11-30,Ohio State,@,Michigan,W,2,17,8.5,1,0,0,,0,0,0,,0
13,2019-12-07,Ohio State,N,Wisconsin,W,7,83,11.9,2,0,0,,0,0,0,,0
14,2019-12-28,Ohio State,N,Clemson*,L,6,67,11.2,0,0,0,,0,0,0,,0
