Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-24,Miami (FL),N,Florida,L,4,41,10.3,0,1,2,2.0,0,0,0,,0,0,0,,0
2,2019-09-07,Miami (FL),@,North Carolina,L,7,76,10.9,1,1,5,5.0,0,0,0,,0,0,0,,0
3,2019-09-14,Miami (FL),,Bethune-Cookman,W,4,58,14.5,1,0,0,,0,0,0,,0,1,4,4.0,0
4,2019-09-21,Miami (FL),,Central Michigan,W,1,6,6.0,1,0,0,,0,0,0,,0,0,0,,0
5,2019-10-05,Miami (FL),,Virginia Tech,L,3,44,14.7,0,0,0,,0,0,0,,0,0,0,,0
6,2019-10-11,Miami (FL),,Virginia,W,4,60,15.0,0,0,0,,0,0,0,,0,0,0,,0
7,2019-10-19,Miami (FL),,Georgia Tech,L,4,39,9.8,1,2,4,2.0,0,0,0,,0,2,68,34.0,0
8,2019-10-26,Miami (FL),@,Pittsburgh,W,6,94,15.7,1,0,0,,0,1,27,27.0,0,0,0,,0
9,2019-11-02,Miami (FL),@,Florida State,W,3,21,7.0,0,0,0,,0,0,0,,0,3,44,14.7,0
10,2019-11-09,Miami (FL),,Louisville,W,3,5,1.7,0,0,0,,0,5,104,20.8,0,2,36,18.0,0
11,2019-11-23,Miami (FL),@,Florida International,L,3,25,8.3,0,0,0,,0,3,54,18.0,0,1,2,2.0,0
12,2019-11-30,Miami (FL),@,Duke,L,3,22,7.3,0,0,0,,0,0,0,,0,4,54,13.5,0
13,2019-12-26,Miami (FL),N,Louisiana Tech*,L,5,56,11.2,0,1,4,4.0,0,1,16,16.0,0,3,47,15.7,0
