Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-31,Penn State,,Idaho,W,4,115,28.8,2,1,16,16.0,0,0,0,,0,4,28,7.0,0
2,2019-09-07,Penn State,,Buffalo,W,3,62,20.7,0,0,0,,0,0,0,,0,1,22,22.0,0
3,2019-09-14,Penn State,,Pittsburgh,W,3,68,22.7,0,0,0,,0,3,57,19.0,0,1,5,5.0,0
4,2019-09-27,Penn State,@,Maryland,W,6,108,18.0,1,0,0,,0,0,0,,0,3,0,0.0,0
5,2019-10-05,Penn State,,Purdue,W,3,41,13.7,1,2,-9,-4.5,0,0,0,,0,6,37,6.2,0
6,2019-10-12,Penn State,@,Iowa,W,7,61,8.7,1,0,0,,0,3,48,16.0,0,1,5,5.0,0
7,2019-10-19,Penn State,,Michigan,W,6,108,18.0,2,2,6,3.0,0,2,65,32.5,0,3,7,2.3,0
8,2019-10-26,Penn State,@,Michigan State,W,5,57,11.4,1,1,4,4.0,0,2,44,22.0,0,1,6,6.0,0
9,2019-11-09,Penn State,@,Minnesota,L,7,119,17.0,0,2,6,3.0,0,5,98,19.6,0,1,-15,-15.0,0
10,2019-11-16,Penn State,,Indiana,W,2,52,26.0,0,0,0,,0,3,60,20.0,0,0,0,,0
11,2019-11-23,Penn State,@,Ohio State,L,3,45,15.0,0,0,0,,0,2,39,19.5,0,1,7,7.0,0
12,2019-11-30,Penn State,,Rutgers,W,5,22,4.4,0,3,6,2.0,0,3,78,26.0,0,1,24,24.0,0
13,2019-12-28,Penn State,N,Memphis*,W,2,46,23.0,0,2,14,7.0,0,1,24,24.0,0,0,0,,0
