Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2019-08-31,Vanderbilt,,Georgia,L,3,8,2.7,0,0,0,,0
2,2019-09-07,Vanderbilt,@,Purdue,L,8,98,12.3,0,1,16,16.0,0
3,2019-09-21,Vanderbilt,,Louisiana State,L,5,68,13.6,1,0,0,,0
4,2019-09-28,Vanderbilt,,Northern Illinois,W,8,100,12.5,1,0,0,,0
5,2019-10-05,Vanderbilt,@,Mississippi,L,7,69,9.9,0,0,0,,0
6,2019-10-19,Vanderbilt,,Missouri,W,1,34,34.0,0,0,0,,0
7,2019-11-09,Vanderbilt,@,Florida,L,1,4,4.0,0,1,10,10.0,0
8,2019-11-16,Vanderbilt,,Kentucky,L,4,12,3.0,0,1,22,22.0,0
9,2019-11-23,Vanderbilt,,East Tennessee State,W,6,75,12.5,0,1,4,4.0,0
10,2019-11-30,Vanderbilt,@,Tennessee,L,4,43,10.8,1,0,0,,0
