Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-30,Colorado,N,Colorado State,W,3,48,16.0,1,3,35,11.7,0,0,0,,0,0,0,0,0.0,0.0
2,2019-09-07,Colorado,,Nebraska,W,5,31,6.2,0,3,6,2.0,0,1,54,54.0,0,1,0,1,0.0,0.0
3,2019-09-14,Colorado,,Air Force,L,8,124,15.5,1,3,25,8.3,1,0,0,,0,0,0,0,0.0,0.0
4,2019-09-21,Colorado,@,Arizona State,W,1,23,23.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
5,2019-10-11,Colorado,@,Oregon,L,4,70,17.5,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
6,2019-10-19,Colorado,@,Washington State,L,4,46,11.5,0,3,16,5.3,1,0,0,,0,1,0,1,0.0,0.0
7,2019-10-25,Colorado,,Southern California,L,9,172,19.1,1,1,17,17.0,0,0,0,,0,0,0,0,0.0,0.0
8,2019-11-02,Colorado,@,UCLA,L,3,16,5.3,0,1,15,15.0,0,0,0,,0,0,0,0,0.0,0.0
9,2019-11-09,Colorado,,Stanford,W,8,91,11.4,0,1,5,5.0,0,0,0,,0,0,0,0,0.0,0.0
10,2019-11-23,Colorado,,Washington,W,7,100,14.3,1,3,17,5.7,0,0,0,,0,0,0,0,0.0,0.0
11,2019-11-30,Colorado,@,Utah,L,4,43,10.8,0,5,25,5.0,0,0,0,,0,0,0,0,0.0,0.0
