Rk,Date,School,,Opponent,,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-31,Kentucky,,Toledo,W,0,0,,0,6,77,12.8,0,0,0,,0,0,0,,2,42,21.0,0,1,-1,-1.0,0
2,2019-09-07,Kentucky,,Eastern Michigan,W,2,17,8.5,0,7,54,7.7,1,1,1,100.0,32,0,0,368.8,1,37,37.0,0,1,29,29.0,0
3,2019-09-14,Kentucky,,Florida,L,2,1,0.5,0,7,70,10.0,0,0,0,,0,0,0,,1,18,18.0,0,0,0,,0
4,2019-09-21,Kentucky,@,Mississippi State,L,3,37,12.3,0,7,129,18.4,0,0,1,0.0,0,0,0,0.0,1,19,19.0,0,1,25,25.0,0
5,2019-09-28,Kentucky,@,South Carolina,L,6,44,7.3,0,3,18,6.0,0,2,2,100.0,7,0,0,129.4,3,84,28.0,0,0,0,,0
6,2019-10-12,Kentucky,,Arkansas,W,24,196,8.2,2,0,0,,0,7,11,63.6,78,1,0,153.2,0,0,,0,1,0,0.0,0
7,2019-10-19,Kentucky,@,Georgia,L,17,99,5.8,0,0,0,,0,2,15,13.3,17,0,0,22.9,0,0,,0,0,0,,0
8,2019-10-26,Kentucky,,Missouri,W,21,204,9.7,2,0,0,,0,3,7,42.9,54,0,0,107.7,0,0,,0,0,0,,0
9,2019-11-09,Kentucky,,Tennessee,L,26,114,4.4,0,0,0,,0,4,7,57.1,25,0,1,58.6,0,0,,0,0,0,,0
10,2019-11-16,Kentucky,@,Vanderbilt,W,17,110,6.5,1,0,0,,0,8,10,80.0,104,1,0,200.4,0,0,,0,0,0,,0
11,2019-11-23,Kentucky,,Tennessee-Martin,W,11,129,11.7,2,0,0,,0,1,6,16.7,9,0,1,-4.1,0,0,,0,0,0,,0
12,2019-11-30,Kentucky,,Louisville,W,22,284,12.9,4,0,0,,0,1,2,50.0,4,0,0,66.8,0,0,,0,0,0,,0
13,2019-12-31,Kentucky,N,Virginia Tech*,W,34,233,6.9,2,0,0,,0,6,12,50.0,73,1,1,111.9,1,20,20.0,0,0,0,,0
