Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-29,Texas A&M,,Texas State,W,6,85,14.2,1,0,0,,0,0,0,,0
2,2019-09-07,Texas A&M,@,Clemson,L,5,59,11.8,0,0,0,,0,0,0,,0
3,2019-09-21,Texas A&M,,Auburn,L,5,82,16.4,1,0,0,,0,0,0,,0
4,2019-09-28,Texas A&M,N,Arkansas,W,7,62,8.9,2,2,19,9.5,0,0,0,,0
5,2019-10-12,Texas A&M,,Alabama,L,7,81,11.6,0,0,0,,0,0,0,,0
6,2019-10-19,Texas A&M,@,Mississippi,W,1,15,15.0,0,2,9,4.5,0,0,0,,0
7,2019-10-26,Texas A&M,,Mississippi State,W,5,57,11.4,0,0,0,,0,0,0,,0
8,2019-11-16,Texas A&M,,South Carolina,W,5,48,9.6,0,0,0,,0,0,0,,0
9,2019-11-23,Texas A&M,@,Georgia,L,5,64,12.8,0,0,0,,0,1,20,20.0,0
10,2019-11-30,Texas A&M,@,Louisiana State,L,2,15,7.5,0,0,0,,0,0,0,,0
11,2019-12-27,Texas A&M,N,Oklahoma State*,W,6,48,8.0,0,1,4,4.0,0,0,0,,0
