Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2019-08-30,Wisconsin,@,South Florida,W,3,39,13.0,0
2,2019-09-07,Wisconsin,,Central Michigan,W,6,130,21.7,2
3,2019-09-21,Wisconsin,,Michigan,W,2,36,18.0,0
4,2019-09-28,Wisconsin,,Northwestern,W,3,30,10.0,0
5,2019-10-05,Wisconsin,,Kent State,W,3,28,9.3,0
6,2019-10-12,Wisconsin,,Michigan State,W,2,28,14.0,1
7,2019-10-19,Wisconsin,@,Illinois,L,5,62,12.4,0
8,2019-10-26,Wisconsin,@,Ohio State,L,3,57,19.0,0
9,2019-11-09,Wisconsin,,Iowa,W,5,94,18.8,1
10,2019-11-16,Wisconsin,@,Nebraska,W,3,23,7.7,0
11,2019-11-23,Wisconsin,,Purdue,W,5,79,15.8,1
12,2019-11-30,Wisconsin,@,Minnesota,W,5,114,22.8,1
13,2019-12-07,Wisconsin,N,Ohio State,L,7,122,17.4,0
14,2020-01-01,Wisconsin,N,Oregon*,L,7,59,8.4,1
