Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2019-08-31,Mississippi State,N,Louisiana,W,4,36,9.0,0
2,2019-09-07,Mississippi State,,Southern Mississippi,W,3,32,10.7,1
3,2019-09-28,Mississippi State,@,Auburn,L,1,9,9.0,1
4,2019-10-12,Mississippi State,@,Tennessee,L,2,36,18.0,0
5,2019-10-19,Mississippi State,,Louisiana State,L,6,98,16.3,1
6,2019-10-26,Mississippi State,@,Texas A&M,L,2,59,29.5,1
7,2019-11-02,Mississippi State,@,Arkansas,W,1,8,8.0,0
8,2019-11-16,Mississippi State,,Alabama,L,3,18,6.0,0
9,2019-11-23,Mississippi State,,Abilene Christian,W,1,8,8.0,0
10,2019-11-28,Mississippi State,,Mississippi,W,1,7,7.0,0
11,2019-12-30,Mississippi State,N,Louisville*,L,6,76,12.7,1
