Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2019-08-29,Clemson,,Georgia Tech,W,4,98,24.5,1,0,0,,0
2,2019-09-07,Clemson,,Texas A&M,W,4,70,17.5,0,0,0,,0
3,2019-09-14,Clemson,@,Syracuse,W,7,150,21.4,0,0,0,,0
4,2019-09-21,Clemson,,Charlotte,W,1,58,58.0,1,0,0,,0
5,2019-09-28,Clemson,@,North Carolina,W,6,129,21.5,1,0,0,,0
6,2019-10-12,Clemson,,Florida State,W,2,44,22.0,0,0,0,,0
7,2019-10-19,Clemson,@,Louisville,W,1,3,3.0,0,0,0,,0
8,2019-10-26,Clemson,,Boston College,W,2,36,18.0,0,0,0,,0
9,2019-11-02,Clemson,,Wofford,W,5,74,14.8,1,0,0,,0
10,2019-11-09,Clemson,@,North Carolina State,W,4,73,18.3,1,0,0,,0
11,2019-11-16,Clemson,,Wake Forest,W,4,64,16.0,3,0,0,,0
12,2019-11-30,Clemson,@,South Carolina,W,3,101,33.7,2,0,0,,0
13,2019-12-07,Clemson,N,Virginia,W,9,182,20.2,3,0,0,,0
14,2019-12-28,Clemson,N,Ohio State*,W,4,33,8.3,0,0,0,,0
15,2020-01-13,Clemson,N,Louisiana State*,L,3,52,17.3,0,1,36,36.0,1
