Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-30,Colorado,N,Colorado State,W,3,71,23.7,0,0,0,,0,0,0,0,0.0,0.0
2,2019-09-07,Colorado,,Nebraska,W,5,60,12.0,1,1,-4,-4.0,0,0,0,0,0.0,0.0
3,2019-09-14,Colorado,,Air Force,L,2,20,10.0,0,0,0,,0,0,0,0,0.0,0.0
4,2019-09-21,Colorado,@,Arizona State,W,9,150,16.7,3,0,0,,0,0,0,0,0.0,0.0
5,2019-10-05,Colorado,,Arizona,L,10,141,14.1,0,1,15,15.0,1,0,0,0,0.0,0.0
6,2019-10-11,Colorado,@,Oregon,L,5,16,3.2,0,0,0,,0,0,1,1,0.0,0.0
7,2019-10-19,Colorado,@,Washington State,L,3,22,7.3,0,2,14,7.0,0,0,0,0,0.0,0.0
8,2019-10-25,Colorado,,Southern California,L,5,67,13.4,0,1,8,8.0,0,0,0,0,0.0,0.0
9,2019-11-02,Colorado,@,UCLA,L,6,77,12.8,1,0,0,,0,0,0,0,0.0,0.0
10,2019-11-09,Colorado,,Stanford,W,3,32,10.7,0,1,0,0.0,0,0,0,0,0.0,0.0
11,2019-11-23,Colorado,,Washington,W,4,42,10.5,0,0,0,,0,0,0,0,0.0,0.0
12,2019-11-30,Colorado,@,Utah,L,1,9,9.0,0,0,0,,0,0,0,0,0.0,0.0
