Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-29,Minnesota,,South Dakota State,W,3,28,9.3,0,0,0,,0,0,0,0,0.0,0.0
2,2019-09-07,Minnesota,@,Fresno State,W,4,71,17.8,0,1,-1,-1.0,0,0,0,0,0.0,0.0
3,2019-09-14,Minnesota,,Georgia Southern,W,10,140,14.0,3,0,0,,0,0,0,0,0.0,0.0
4,2019-09-28,Minnesota,@,Purdue,W,8,73,9.1,1,0,0,,0,1,0,1,0.0,0.0
5,2019-10-05,Minnesota,,Illinois,W,3,38,12.7,1,0,0,,0,0,0,0,0.0,0.0
6,2019-10-12,Minnesota,,Nebraska,W,5,109,21.8,0,0,0,,0,0,0,0,0.0,0.0
7,2019-10-19,Minnesota,@,Rutgers,W,6,130,21.7,1,0,0,,0,0,0,0,0.0,0.0
8,2019-10-26,Minnesota,,Maryland,W,4,37,9.3,1,0,0,,0,1,0,1,0.0,0.0
9,2019-11-09,Minnesota,,Penn State,W,7,104,14.9,1,0,0,,0,0,0,0,0.0,0.0
10,2019-11-16,Minnesota,@,Iowa,L,9,170,18.9,1,0,0,,0,0,0,0,0.0,0.0
11,2019-11-23,Minnesota,@,Northwestern,W,7,125,17.9,1,0,0,,0,0,0,0,0.0,0.0
12,2019-11-30,Minnesota,,Wisconsin,L,8,89,11.1,1,0,0,,0,0,0,0,0.0,0.0
13,2020-01-01,Minnesota,N,Auburn*,W,12,204,17.0,2,0,0,,0,1,0,1,0.0,0.0
