Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-24,Florida,N,Miami (FL),W,1,13,13.0,0,0,0,,0,1,0,1,0.0,0.0
2,2019-09-07,Florida,,Tennessee-Martin,W,3,52,17.3,1,1,34,34.0,0,0,0,0,0.0,0.0
3,2019-09-21,Florida,,Tennessee,W,3,43,14.3,0,0,0,,0,1,0,1,0.0,0.0
4,2019-09-28,Florida,,Towson,W,3,59,19.7,0,1,11,11.0,0,0,0,0,0.0,0.0
5,2019-10-05,Florida,,Auburn,W,2,-1,-0.5,0,0,0,,0,0,0,0,0.0,0.0
6,2019-10-12,Florida,@,Louisiana State,L,1,17,17.0,0,0,0,,0,0,0,0,0.0,0.0
7,2019-10-19,Florida,@,South Carolina,W,1,14,14.0,0,0,0,,0,0,0,0,0.0,0.0
8,2019-11-02,Florida,N,Georgia,L,1,8,8.0,0,1,18,18.0,0,0,0,0,0.0,0.0
9,2019-11-09,Florida,,Vanderbilt,W,3,51,17.0,0,0,0,,0,0,0,0,0.0,0.0
10,2019-11-16,Florida,@,Missouri,W,0,0,,0,0,0,,0,1,0,1,0.0,0.0
11,2019-11-30,Florida,,Florida State,W,4,44,11.0,0,1,40,40.0,0,0,0,0,0.0,0.0
12,2019-12-30,Florida,N,Virginia*,W,3,51,17.0,0,1,21,21.0,0,0,0,0,0.0,0.0
